Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diandra Bruised Head,Brodie Heidinger,Glen Motz,Geoff Shoesmith,Jocelyn Stenger,Hannah Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 506","Mobile poll/Bureau itinérant",1,1,4,0,0,0,0,6,4
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 508","Mobile poll/Bureau itinérant",3,3,16,0,1,5,1,29,39
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 509","Mobile poll/Bureau itinérant",0,0,19,1,0,3,1,24,29
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 510","Mobile poll/Bureau itinérant",0,1,6,1,1,1,1,11,11
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 511","Mobile poll/Bureau itinérant",1,2,26,0,3,1,0,33,60
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 512","Bow Island",Merged with No./Fusionné avec le n°130,,,,,,,,0
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 513","Mobile poll/Bureau itinérant",1,0,15,0,2,2,1,21,117
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 514","Medicine Hat",Merged with No./Fusionné avec le n°26,,,,,,,,3
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 515","Medicine Hat",Merged with No./Fusionné avec le n°50,,,,,,,,2
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 516","Medicine Hat",Merged with No./Fusionné avec le n°50,,,,,,,,2
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 517","Medicine Hat",Merged with No./Fusionné avec le n°53,,,,,,,,1
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 518","Medicine Hat",Merged with No./Fusionné avec le n°61,,,,,,,,1
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 519","Medicine Hat",Merged with No./Fusionné avec le n°43,,,,,,,,19
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 520","Mobile poll/Bureau itinérant",2,0,12,1,1,3,1,20,60
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 521","Mobile poll/Bureau itinérant",1,4,20,0,2,7,3,37,98
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 522","Mobile poll/Bureau itinérant",1,1,29,2,2,9,1,45,46
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 523","Medicine Hat",Merged with No./Fusionné avec le n°72,,,,,,,,0
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 524","Mobile poll/Bureau itinérant",0,2,10,0,1,4,0,17,77
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 525","Medicine Hat",Merged with No./Fusionné avec le n°112,,,,,,,,99
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 526","Medicine Hat",Merged with No./Fusionné avec le n°76,,,,,,,,0
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 527","Redcliff",Merged with No./Fusionné avec le n°7,,,,,,,,0
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 600","Cardston",4,27,555,7,24,28,3,648,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 601","Stand Off",10,1,2,0,19,25,1,58,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 602","Magrath",3,49,499,23,42,23,5,644,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 603","Raymond--Stirling",14,73,737,9,58,51,6,948,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 604","Milk River",5,56,382,20,30,23,1,517,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 605","Forty Mile County No. 8",0,21,200,5,8,4,1,239,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 606","Bow Island",1,123,294,12,22,25,0,477,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 607","Cypress County",14,113,747,32,149,119,3,1177,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 608","Medicine Hat",8,156,939,37,181,127,5,1453,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 609","Medicine Hat",10,62,691,24,108,74,3,972,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 610","Medicine Hat",9,73,639,30,136,56,6,949,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 611","Medicine Hat",14,122,823,42,183,107,5,1296,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 612","Medicine Hat",15,90,415,25,153,70,0,768,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 613","Medicine Hat",9,95,856,47,169,100,0,1276,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 614","Medicine Hat",16,120,772,47,216,105,1,1277,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 615","Cypress County--Redcliff",12,102,750,51,147,63,3,1128,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 616","Cypress County",2,59,477,56,39,18,0,651,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner",,Group 1/Groupe 1, 14,30,318,11,64,36,23,496,116
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner",,Group 2/Groupe 2, 30,164,1437,52,263,190,38,2174,
