Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Christopher Adam,Salina Derish,Jeff Galbraith,Zeeshan Khan,Mark Strahl,Teri Westerby,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Chilliwack--Hope/Chilliwack--Hope"," 518","Mobile poll/Bureau itinérant",4,5,1,28,31,12,0,81,42
59005,"Chilliwack--Hope/Chilliwack--Hope"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,11
59005,"Chilliwack--Hope/Chilliwack--Hope"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,36
59005,"Chilliwack--Hope/Chilliwack--Hope"," 600","Yale Town 1--Boston Bar",Combined with No./Résultats combinés à ceux du n°602,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 601","Kahmoose 4",0,1,0,4,1,3,0,9,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 602","Boston Bar 1A--Kopchitchin 2",0,4,0,60,82,11,1,158,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 603","Spuzzum 1",Combined with No./Résultats combinés à ceux du n°601,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 604","Albert Flat 5--Stullawheets 8",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 605","Puckatholetchin 11",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 606","Choate--Yale",1,5,0,65,72,14,0,157,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 607","Kent",2,25,13,516,833,91,6,1486,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 608","Seabird Island",0,0,0,10,5,2,0,17,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 609","Peters 1",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 610","Ohamil 1",Combined with No./Résultats combinés à ceux du n°608,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 611","Lukseetsissum 9",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 612","Ruby Creek 2",Combined with No./Résultats combinés à ceux du n°614,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 613","Chawathil 4",Combined with No./Résultats combinés à ceux du n°608,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 614","Hope",0,9,7,167,264,30,2,479,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 615","Chilliwack",3,10,5,363,805,33,3,1222,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 616","Popkum 1",Combined with No./Résultats combinés à ceux du n°619,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 617","Cheam 1--Tseatah 2",Combined with No./Résultats combinés à ceux du n°619,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 618","Schelowat 1",Combined with No./Résultats combinés à ceux du n°619,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 619","Chilliwack",3,13,6,337,1144,49,3,1555,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 620","Chilliwack",5,37,16,671,1291,129,7,2156,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 621","Chilliwack",0,32,16,516,786,74,1,1425,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 622","Aitchelitch 9",Combined with No./Résultats combinés à ceux du n°621,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 623","Squiaala",Combined with No./Résultats combinés à ceux du n°625,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 624","Kwawkwawapilt 6",Combined with No./Résultats combinés à ceux du n°625,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 625","Skway 5",0,0,4,121,150,27,0,302,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 626","Skwah 4",Combined with No./Résultats combinés à ceux du n°625,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 627","Chilliwack",2,8,6,286,336,67,1,706,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 628","Chilliwack",1,13,8,353,416,72,5,868,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 629","Chilliwack",1,20,15,518,728,111,3,1396,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 630","Chilliwack",1,16,1,442,702,111,3,1276,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 631","Chilliwack",7,19,16,611,779,69,0,1501,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 632","Yakweakwioose 12",Combined with No./Résultats combinés à ceux du n°633,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 633","Skowkale",1,7,4,197,200,37,0,446,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 634","Chilliwack",3,20,9,867,919,135,9,1962,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 635","Chilliwack",1,5,9,211,624,47,0,897,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 636","Chilliwack",3,24,13,933,1160,157,5,2295,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 637","Chilliwack",3,20,3,728,792,110,7,1663,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 638","Chilliwack",Combined with No./Résultats combinés à ceux du n°643,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 639","Tzeatchen 13",2,12,2,856,728,82,8,1690,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 640","Chilliwack",2,4,4,442,576,68,1,1097,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 641","Chilliwack",3,30,5,675,891,74,7,1685,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 642","Soowahlie 14",Combined with No./Résultats combinés à ceux du n°643,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 643","Chilliwack",1,16,8,676,724,106,0,1531,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 644","Hope",0,24,9,650,675,131,4,1493,
59005,"Chilliwack--Hope/Chilliwack--Hope",,Group 1/Groupe 1, 0,9,5,244,259,61,35,613,227
59005,"Chilliwack--Hope/Chilliwack--Hope",,Group 2/Groupe 2, 5,57,23,1378,1548,246,69,3326,
